task_id,time,start_slice,duration_slices,source,target,node_id,compute_units,gpu_units,memory_gb,storage_gb,traffic_mbps,priority,task_type
RADAR-BACKBONE-01,T00,0,48,P02-S03,P04-S07,,14.4,0,3,16,230.9,2,background
RADAR-BACKBONE-02,T00,0,48,P05-S01,P02-S06,,12.6,0,3,16,202.03,2,background
RADAR-BACKBONE-03,T00,0,48,P01-S06,P03-S05,,14.16,0,3,16,227.05,2,background
RADAR-BACKBONE-04,T00,0,48,P06-S04,P07-S04,,13.68,0,3,16,219.35,2,background
RADAR-BACKBONE-05,T00,0,48,P02-S01,P03-S02,,9.12,0,3,16,146.23,2,background
RADAR-BACKBONE-06,T00,0,48,P06-S06,P02-S08,,7.44,0,3,16,119.3,2,background
RADAR-00-na-east-human-web,T00,0,2,P02-S03,P05-S01,,9.74,0,3.6,12,175.11,2,mixed
RADAR-00-na-east-automated,T00,0,2,P03-S01,P04-S07,,5.57,0,2.4,9.6,142.96,4,routing
RADAR-COMPUTE-00-na-east,T00,0,3,,,P01-S05,16.7,1,9.6,38.4,0,2,compute
RADAR-00-na-west-human-web,T00,0,2,P05-S01,P03-S08,,8.53,0,3.15,10.5,153.22,2,mixed
RADAR-00-na-west-api,T00,0,2,P08-S03,P08-S04,,10.96,0,4.2,12.6,62.33,1,telemetry
RADAR-00-na-west-background-sync,T00,0,4,P03-S05,P05-S01,,6.09,0,3.15,21,73.17,3,background
RADAR-00-na-west-dns-control,T00,0,1,P01-S01,P07-S02,,3.65,0,1.05,4.2,24.39,1,telemetry
RADAR-00-europe-human-web,T00,0,2,P01-S06,P04-S07,,9.58,0,3.54,11.8,172.2,2,mixed
RADAR-00-east-asia-human-web,T00,0,2,P06-S04,P08-S06,,9.26,0,3.42,11.4,166.36,2,mixed
RADAR-00-east-asia-api,T00,0,2,P01-S06,P05-S02,,11.9,0,4.56,13.68,67.67,1,telemetry
RADAR-00-south-america-human-web,T00,0,2,P02-S01,P04-S04,,6.17,0,2.4,8,110.91,2,mixed
RADAR-00-south-america-background-sync,T00,0,4,P08-S05,P06-S05,,4.41,0,2.4,16,52.96,3,background
RADAR-00-south-america-automated,T00,0,2,P03-S07,P03-S02,,3.53,0,1.6,6.4,90.54,4,routing
RADAR-COMPUTE-00-south-america,T00,0,3,,,P01-S03,10.58,0,6.4,25.6,0,2,compute
RADAR-00-oceania-human-web,T00,0,2,P06-S06,P03-S02,,5.03,0,2.4,8,90.48,2,mixed
RADAR-00-oceania-api,T00,0,2,P01-S08,P08-S06,,6.47,0,3.2,9.6,36.81,1,telemetry
RADAR-00-oceania-dns-control,T00,0,1,P02-S06,P07-S04,,2.16,0,0.8,3.2,14.4,1,telemetry
RADAR-01-na-east-human-web,T01,1,2,P03-S03,P06-S02,,9.07,0,3.6,12,161.94,2,mixed
RADAR-01-na-east-api,T01,1,2,P06-S05,P03-S06,,11.66,0,4.8,14.4,67.07,1,telemetry
RADAR-01-na-east-background-sync,T01,1,4,P01-S07,P08-S03,,6.48,0,3.6,24,78.73,3,background
RADAR-01-na-east-dns-control,T01,1,1,P07-S03,P02-S04,,3.89,0,1.2,4.8,26.24,1,telemetry
RADAR-01-na-west-human-web,T01,1,2,P06-S01,P04-S08,,7.94,0,3.15,10.5,141.69,2,mixed
RADAR-01-europe-human-web,T01,1,2,P02-S06,P05-S08,,8.92,0,3.54,11.8,159.24,2,mixed
RADAR-01-europe-api,T01,1,2,P05-S08,P02-S04,,11.47,0,4.72,14.16,65.95,1,telemetry
RADAR-01-east-asia-human-web,T01,1,2,P07-S04,P01-S06,,8.62,0,3.42,11.4,153.84,2,mixed
RADAR-01-east-asia-background-sync,T01,1,4,P05-S08,P03-S07,,6.16,0,3.42,22.8,74.8,3,background
RADAR-01-east-asia-automated,T01,1,2,P08-S02,P08-S04,,4.92,0,2.28,9.12,126.44,4,routing
RADAR-COMPUTE-01-east-asia,T01,1,3,,,P06-S06,14.77,1,9.12,36.48,0,2,compute
RADAR-01-south-america-human-web,T01,1,2,P03-S01,P05-S05,,5.75,0,2.4,8,102.56,2,mixed
RADAR-01-south-america-api,T01,1,2,P06-S03,P02-S01,,7.39,0,3.2,9.6,42.48,1,telemetry
RADAR-01-south-america-dns-control,T01,1,1,P07-S01,P01-S07,,2.46,0,0.8,3.2,16.62,1,telemetry
RADAR-01-oceania-human-web,T01,1,2,P07-S06,P04-S02,,4.69,0,2.4,8,83.67,2,mixed
