task_id,time,start_slice,duration_slices,source,target,node_id,compute_units,gpu_units,memory_gb,storage_gb,traffic_mbps,priority,task_type
ML-LONG-001,T00,0,48,P01-S01,P05-S05,,24,1,1.2,2.4,180,1,telemetry
ML-LONG-002,T00,0,48,P02-S04,P06-S08,,26,1,1.4,2.6,220,1,background
ML-LONG-003,T01,1,46,P03-S07,P07-S03,,28,2,1.6,3.2,260,2,mixed
ML-LONG-004,T02,2,44,P04-S02,P08-S06,,22,0,1,2,160,1,telemetry
ML-LONG-005,T03,3,42,P05-S05,P01-S01,,30,2,1.8,3.6,300,2,routing
ML-LONG-006,T04,4,40,P06-S08,P02-S04,,24,1,1.2,2.4,210,1,background
ML-PER-001,T00,0,4,P01-S03,P04-S07,,18,0,0.8,1.6,320,2,telemetry
ML-PER-002,T04,4,4,P02-S06,P05-S02,,20,0,0.9,1.8,340,2,telemetry
ML-PER-003,T08,8,4,P03-S01,P06-S05,,18,1,0.8,1.6,300,2,telemetry
ML-PER-004,T12,12,4,P04-S04,P07-S08,,22,1,1,2,360,2,telemetry
ML-PER-005,T16,16,4,P05-S07,P08-S03,,18,0,0.8,1.6,310,2,telemetry
ML-PER-006,T20,20,4,P06-S02,P01-S06,,20,1,0.9,1.8,350,2,telemetry
ML-PER-007,T24,24,4,P07-S05,P02-S01,,18,0,0.8,1.6,330,2,telemetry
ML-PER-008,T28,28,4,P08-S08,P03-S04,,22,1,1,2,370,2,telemetry
ML-PER-009,T32,32,4,P01-S02,P04-S06,,18,0,0.8,1.6,320,2,telemetry
ML-PER-010,T36,36,4,P02-S05,P05-S01,,20,1,0.9,1.8,350,2,telemetry
ML-PER-011,T40,40,4,P03-S08,P06-S04,,18,0,0.8,1.6,330,2,telemetry
ML-PER-012,T44,44,4,P04-S03,P07-S07,,22,1,1,2,380,2,telemetry
ML-BATCH-A01,T06,6,3,P01-S04,P06-S04,,16,0,0.6,1.2,760,4,burst
ML-BATCH-A02,T06,6,3,P02-S05,P07-S05,,16,0,0.6,1.2,820,4,burst
ML-BATCH-A03,T07,7,3,P03-S06,P08-S06,,18,0,0.7,1.4,880,4,burst
ML-BATCH-A04,T07,7,3,P04-S07,P01-S07,,18,0,0.7,1.4,920,4,burst
ML-BATCH-B01,T18,18,4,P05-S02,P08-S02,,28,2,1.4,2.8,640,3,mixed
ML-BATCH-B02,T18,18,4,P06-S03,P01-S03,,30,2,1.5,3,700,3,mixed
ML-BATCH-B03,T19,19,4,P07-S04,P02-S04,,26,1,1.3,2.6,680,3,routing
ML-BATCH-B04,T19,19,4,P08-S05,P03-S05,,28,2,1.4,2.8,720,3,routing
ML-BATCH-C01,T30,30,5,P01-S08,P05-S04,,34,3,1.8,3.6,560,3,downlink
ML-BATCH-C02,T30,30,5,P02-S01,P06-S05,,36,3,1.9,3.8,600,3,downlink
ML-BATCH-C03,T31,31,5,P03-S02,P07-S06,,32,2,1.7,3.4,580,3,mixed
ML-BATCH-C04,T31,31,5,P04-S03,P08-S07,,34,3,1.8,3.6,620,3,mixed
ML-BATCH-D01,T40,40,4,P05-S06,P02-S02,,18,0,0.7,1.4,980,4,burst
ML-BATCH-D02,T40,40,4,P06-S07,P03-S03,,18,0,0.7,1.4,1040,4,burst
ML-BATCH-D03,T41,41,4,P07-S08,P04-S04,,20,1,0.8,1.6,1080,4,burst
ML-BATCH-D04,T41,41,4,P08-S01,P05-S05,,20,1,0.8,1.6,1120,4,burst
ML-COMP-001,T02,2,12,,,P03-S02,58,6,3.5,10,0,2,compute
ML-COMP-002,T10,10,10,,,P06-S06,64,8,4,12,0,2,compute
ML-COMP-003,T18,18,12,,,P01-S07,72,10,5,14,0,3,compute
ML-COMP-004,T26,26,10,,,P08-S02,60,6,3.8,10,0,2,compute
ML-COMP-005,T34,34,12,,,P04-S05,80,12,5.5,16,0,3,compute
ML-COMP-006,T42,42,6,,,P07-S01,52,4,3,8,0,2,compute
ML-HOT-001,T12,12,14,P01-S05,P04-S04,,42,4,2.4,6,460,3,routing
ML-HOT-002,T14,14,14,P02-S06,P04-S04,,44,4,2.5,6,500,3,routing
ML-HOT-003,T16,16,14,P03-S07,P04-S04,,46,5,2.6,6.5,540,3,routing
ML-HOT-004,T22,22,12,P05-S01,P04-S04,,40,3,2.2,5.5,480,3,routing
ML-HOT-005,T24,24,12,P06-S02,P04-S04,,42,4,2.4,6,520,3,routing
ML-HOT-006,T26,26,12,P07-S03,P04-S04,,44,4,2.5,6,560,3,routing
