task_id,time,start_slice,duration_slices,source,target,node_id,compute_units,gpu_units,memory_gb,storage_gb,traffic_mbps,priority,task_type
RADAR-BACKBONE-01,T00,0,48,P02-S03,P04-S07,,14.4,0,3,16,230.9,2,background
RADAR-BACKBONE-02,T00,0,48,P05-S01,P02-S06,,12.6,0,3,16,202.03,2,background
RADAR-BACKBONE-03,T00,0,48,P01-S06,P03-S05,,14.16,0,3,16,227.05,2,background
RADAR-BACKBONE-04,T00,0,48,P06-S04,P07-S04,,13.68,0,3,16,219.35,2,background
RADAR-BACKBONE-05,T00,0,48,P02-S01,P03-S02,,9.12,0,3,16,146.23,2,background
RADAR-BACKBONE-06,T00,0,48,P06-S06,P02-S08,,7.44,0,3,16,119.3,2,background
RADAR-00-na-east-human-web,T00,0,2,P02-S03,P05-S01,,9.74,0,3.6,12,175.11,2,mixed
RADAR-00-na-east-video-streaming,T00,0,3,P05-S05,P02-S06,,6.26,0,3,21.6,370.83,3,background
RADAR-00-na-east-automated,T00,0,2,P04-S07,P03-S04,,5.57,0,2.4,9.6,142.96,4,routing
RADAR-COMPUTE-00-na-east,T00,0,3,,,P01-S05,16.7,1,9.6,38.4,0,2,compute
RADAR-00-na-west-human-web,T00,0,2,P05-S01,P03-S08,,8.53,0,3.15,10.5,153.22,2,mixed
RADAR-00-na-west-interactive-realtime,T00,0,1,P03-S05,P05-S01,,9.74,0,2.1,6.3,85.63,1,routing
RADAR-00-na-west-api,T00,0,2,P06-S07,P02-S05,,10.96,0,4.2,12.6,62.33,1,telemetry
RADAR-00-na-west-background-sync,T00,0,4,P01-S01,P07-S02,,6.09,0,3.15,21,73.17,3,background
RADAR-00-na-west-dns-control,T00,0,1,P02-S07,P06-S07,,3.65,0,1.05,4.2,24.39,1,telemetry
RADAR-00-europe-human-web,T00,0,2,P01-S06,P04-S07,,9.58,0,3.54,11.8,172.2,2,mixed
RADAR-00-europe-video-streaming,T00,0,3,P04-S08,P01-S04,,6.16,0,2.95,21.24,364.65,3,background
RADAR-00-europe-software-update,T00,0,5,P08-S08,P05-S06,,4.79,0,2.36,42.48,243.1,4,background
RADAR-00-east-asia-human-web,T00,0,2,P06-S04,P08-S06,,9.26,0,3.42,11.4,166.36,2,mixed
RADAR-00-east-asia-interactive-realtime,T00,0,1,P04-S08,P02-S07,,10.58,0,2.28,6.84,92.96,1,routing
RADAR-00-east-asia-api,T00,0,2,P07-S02,P07-S03,,11.9,0,4.56,13.68,67.67,1,telemetry
RADAR-00-south-america-human-web,T00,0,2,P02-S01,P04-S04,,6.17,0,2.4,8,110.91,2,mixed
RADAR-00-south-america-video-streaming,T00,0,3,P05-S03,P01-S01,,3.97,0,2,14.4,234.86,3,background
RADAR-00-south-america-background-sync,T00,0,4,P06-S01,P08-S06,,4.41,0,2.4,16,52.96,3,background
RADAR-00-south-america-automated,T00,0,2,P04-S05,P02-S07,,3.53,0,1.6,6.4,90.54,4,routing
RADAR-COMPUTE-00-south-america,T00,0,3,,,P01-S03,10.58,0,6.4,25.6,0,2,compute
RADAR-00-oceania-human-web,T00,0,2,P06-S06,P03-S02,,5.03,0,2.4,8,90.48,2,mixed
RADAR-00-oceania-interactive-realtime,T00,0,1,P04-S02,P05-S03,,5.75,0,1.6,4.8,50.56,1,routing
RADAR-00-oceania-api,T00,0,2,P07-S04,P02-S07,,6.47,0,3.2,9.6,36.81,1,telemetry
RADAR-00-oceania-dns-control,T00,0,1,P03-S04,P06-S01,,2.16,0,0.8,3.2,14.4,1,telemetry
RADAR-01-na-east-human-web,T01,1,2,P03-S03,P06-S02,,9.07,0,3.6,12,161.94,2,mixed
RADAR-01-na-east-interactive-realtime,T01,1,1,P01-S07,P08-S03,,10.37,0,2.4,7.2,90.49,1,routing
RADAR-01-na-east-api,T01,1,2,P04-S01,P05-S07,,11.66,0,4.8,14.4,67.07,1,telemetry
RADAR-01-na-east-background-sync,T01,1,4,P07-S03,P02-S04,,6.48,0,3.6,24,78.73,3,background
RADAR-01-na-east-dns-control,T01,1,1,P08-S01,P01-S01,,3.89,0,1.2,4.8,26.24,1,telemetry
RADAR-01-na-west-human-web,T01,1,2,P06-S01,P04-S08,,7.94,0,3.15,10.5,141.69,2,mixed
RADAR-01-na-west-video-streaming,T01,1,3,P01-S03,P01-S05,,5.1,0,2.63,18.9,300.06,3,background
RADAR-01-na-west-software-update,T01,1,5,P05-S03,P05-S07,,3.97,0,2.1,37.8,200.04,4,background
