task_id,calibration_class_id,calibration_region_id,time,start_slice,duration_slices,source,target,node_id,compute_units,gpu_units,memory_gb,storage_gb,traffic_mbps,priority,task_type
RADAR-BACKBONE-01,backbone,na-east,T00,0,48,P07-S03,P34-S15,,14.4,0,3,16,261.24,2,background
RADAR-BACKBONE-02,backbone,na-west,T00,0,48,P16-S09,P55-S22,,12.6,0,3,16,228.58,2,background
RADAR-BACKBONE-03,backbone,europe,T00,0,48,P31-S14,P24-S13,,14.16,0,3,16,256.88,2,background
RADAR-BACKBONE-04,backbone,east-asia,T00,0,48,P51-S20,P34-S20,,13.68,0,3,16,248.18,2,background
RADAR-BACKBONE-05,backbone,south-america,T00,0,48,P66-S03,P32-S18,,9.12,0,3,16,165.45,2,background
RADAR-BACKBONE-06,backbone,oceania,T00,0,48,P06-S08,P71-S10,,7.44,0,3,16,134.97,2,background
RADAR-00-na-east-human-web,human-web,na-east,T00,0,2,P07-S03,P35-S17,,15.19,0,3.6,12,273.01,2,mixed
RADAR-00-na-east-video-streaming,video-streaming,na-east,T00,0,3,P10-S05,P40-S22,,9.77,0,3,21.6,578.15,3,background
RADAR-00-na-east-automated,automated,na-east,T00,0,2,P25-S15,P65-S22,,8.68,0,2.4,9.6,222.88,4,routing
RADAR-COMPUTE-00-na-east,local-compute,na-east,T00,0,3,,,P22-S13,26.04,1,9.6,38.4,0,2,compute
RADAR-00-na-west-human-web,human-web,na-west,T00,0,2,P16-S09,P56-S02,,13.29,0,3.15,10.5,238.89,2,mixed
RADAR-00-na-west-interactive-realtime,interactive-realtime,na-west,T00,0,1,P22-S13,P66-S11,,15.19,0,2.1,6.3,133.5,1,routing
RADAR-00-na-west-api,api,na-west,T00,0,2,P25-S15,P71-S15,,17.09,0,4.2,12.6,97.18,1,telemetry
RADAR-00-na-west-background-sync,background-sync,na-west,T00,0,4,P28-S17,P04-S20,,9.49,0,3.15,21,114.08,3,background
RADAR-00-na-west-dns-control,dns-control,na-west,T00,0,1,P37-S01,P19-S11,,5.7,0,1.05,4.2,38.03,1,telemetry
RADAR-00-europe-human-web,human-web,europe,T00,0,2,P31-S14,P25-S15,,14.94,0,3.54,11.8,268.46,2,mixed
RADAR-00-europe-video-streaming,video-streaming,europe,T00,0,3,P34-S16,P30-S20,,9.6,0,2.95,21.24,568.51,3,background
